Auxenochlorella_protothecoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracteacoccus_aerius,1.034,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorokybus_atmophyticus,0.256,1.034,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetosphaeridium_globosum,0.240,1.050,0.154,,,,,,,,,,,,,,,,,,,,,,,,
Chlorella_sp._ArM0029B,0.127,0.984,0.211,0.219,,,,,,,,,,,,,,,,,,,,,,,
Chlorotetraedron_incus_SAG43.81,0.987,0.244,1.092,1.102,0.965,,,,,,,,,,,,,,,,,,,,,,
Coccomyxa_subellipsoidea_C169,0.192,1.000,0.246,0.286,0.157,1.004,,,,,,,,,,,,,,,,,,,,,
Chlorella_sorokiniana_UTEX1230,0.155,1.023,0.208,0.219,0.038,0.998,0.178,,,,,,,,,,,,,,,,,,,,
Chlorella_variabilis_NC64A,0.129,0.965,0.208,0.216,0.014,0.971,0.152,0.038,,,,,,,,,,,,,,,,,,,
Chara_vulgaris,0.260,1.025,0.127,0.131,0.225,1.064,0.274,0.233,0.225,,,,,,,,,,,,,,,,,,
Chromochloris_zofingiensis_UTEX56,0.990,0.438,1.050,1.013,1.029,0.452,1.030,1.042,1.022,1.007,,,,,,,,,,,,,,,,,
Entransia_fimbriata_UTEX_LB2353,0.258,1.113,0.144,0.174,0.248,1.116,0.292,0.235,0.244,0.156,1.049,,,,,,,,,,,,,,,,
Gloeotilopsis_planctonica_SAG29.93,0.448,1.023,0.549,0.506,0.530,1.025,0.547,0.527,0.520,0.545,1.095,0.562,,,,,,,,,,,,,,,
Gloeotilopsis_sarcinoidea_UTEX1710,0.441,0.980,0.530,0.502,0.523,0.999,0.530,0.511,0.515,0.535,1.076,0.546,0.030,,,,,,,,,,,,,,
Cyanophora_paradoxa,0.509,1.179,0.460,0.472,0.533,1.217,0.562,0.510,0.508,0.484,1.167,0.451,0.648,0.621,,,,,,,,,,,,,
Mesostigma_viride,0.291,1.139,0.239,0.246,0.297,1.136,0.350,0.298,0.291,0.243,1.047,0.251,0.593,0.573,0.525,,,,,,,,,,,,
Neochloris_aquatica_UTEX_B138,0.970,0.387,1.073,1.013,1.037,0.280,1.129,1.050,1.034,1.003,0.484,1.104,0.991,0.947,1.172,1.110,,,,,,,,,,,
Nephroselmis_olivacea,0.232,0.939,0.259,0.251,0.190,0.979,0.231,0.202,0.186,0.262,0.927,0.255,0.467,0.450,0.519,0.308,0.999,,,,,,,,,,
Ostreococcus_tauri_RCC1561,0.256,1.040,0.270,0.297,0.233,1.059,0.252,0.225,0.226,0.289,1.081,0.308,0.488,0.467,0.514,0.331,1.080,0.214,,,,,,,,,
Oltmannsiellopsis_viridis,0.276,1.088,0.347,0.346,0.283,0.990,0.334,0.300,0.282,0.374,1.029,0.372,0.498,0.498,0.541,0.405,1.070,0.313,0.349,,,,,,,,
Pseudendoclonium_akinetum,0.440,1.001,0.542,0.508,0.508,0.948,0.518,0.505,0.507,0.551,1.094,0.530,0.080,0.088,0.620,0.560,0.977,0.453,0.461,0.485,,,,,,,
Prasinoderma_coloniale_CCMP1220,0.513,1.272,0.542,0.530,0.517,1.233,0.549,0.504,0.513,0.534,1.216,0.510,0.628,0.631,0.698,0.560,1.140,0.573,0.533,0.573,0.658,,,,,,
Pyramimonas_parkeae_NIES254,0.286,1.133,0.298,0.300,0.266,1.098,0.305,0.252,0.256,0.318,1.083,0.312,0.620,0.613,0.521,0.349,1.139,0.297,0.303,0.382,0.583,0.531,,,,,
Pseudomuriella_schumacherensis_SAG2137,1.003,0.191,1.043,1.038,0.969,0.239,0.937,1.037,0.948,1.041,0.424,1.061,0.991,0.934,1.084,1.157,0.443,0.936,1.008,0.977,0.940,1.181,1.068,,,,
Ulva_fasciata,0.445,1.042,0.558,0.546,0.522,1.009,0.476,0.491,0.514,0.562,1.142,0.570,0.232,0.233,0.607,0.577,1.117,0.452,0.484,0.470,0.228,0.642,0.555,0.983,,,
Ulva_flexuosa,0.442,1.027,0.560,0.533,0.513,1.009,0.466,0.493,0.509,0.567,1.103,0.556,0.214,0.215,0.593,0.580,1.106,0.446,0.480,0.462,0.221,0.631,0.557,0.967,0.008,,
Ulva_sp._UNA00071828,0.442,1.032,0.563,0.538,0.512,1.029,0.474,0.485,0.502,0.557,1.110,0.571,0.221,0.218,0.593,0.568,1.113,0.444,0.473,0.454,0.219,0.632,0.558,0.970,0.006,0.006,
