Auxenochlorella_protothecoides,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracteacoccus_aerius,1.278,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlorokybus_atmophyticus,1.007,1.312,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetosphaeridium_globosum,0.737,1.538,0.711,,,,,,,,,,,,,,,,,,,,,,,,
Chlorella_sp._ArM0029B,0.701,1.073,0.855,0.698,,,,,,,,,,,,,,,,,,,,,,,
Chlorotetraedron_incus_SAG43.81,1.129,1.152,0.912,0.896,0.814,,,,,,,,,,,,,,,,,,,,,,
Coccomyxa_subellipsoidea_C169,NA,0.980,2.395,2.670,NA,1.044,,,,,,,,,,,,,,,,,,,,,
Chlorella_sorokiniana_UTEX1230,0.881,1.208,0.959,0.928,0.568,0.824,2.829,,,,,,,,,,,,,,,,,,,,
Chlorella_variabilis_NC64A,0.653,1.470,0.824,0.775,0.461,0.974,NA,0.547,,,,,,,,,,,,,,,,,,,
Chara_vulgaris,1.038,1.136,0.908,0.903,0.889,0.967,NA,0.909,0.795,,,,,,,,,,,,,,,,,,
Chromochloris_zofingiensis_UTEX56,0.984,1.151,0.847,0.871,0.775,0.861,1.566,0.882,0.872,0.853,,,,,,,,,,,,,,,,,
Entransia_fimbriata_UTEX_LB2353,1.107,1.207,0.889,0.806,0.979,0.987,2.607,0.687,0.792,1.017,0.895,,,,,,,,,,,,,,,,
Gloeotilopsis_planctonica_SAG29.93,0.896,1.462,1.018,0.962,1.171,1.253,1.444,0.885,1.112,0.872,0.980,0.915,,,,,,,,,,,,,,,
Gloeotilopsis_sarcinoidea_UTEX1710,0.920,1.145,1.021,0.921,1.133,1.183,1.646,0.959,1.047,0.935,0.949,0.974,0.359,,,,,,,,,,,,,,
Cyanophora_paradoxa,0.729,1.288,0.797,0.750,0.755,0.986,1.724,0.751,0.587,0.931,0.917,0.792,1.048,0.979,,,,,,,,,,,,,
Mesostigma_viride,0.786,1.344,0.662,0.811,0.725,0.886,1.617,0.818,0.544,0.603,0.682,0.781,0.974,0.895,0.608,,,,,,,,,,,,
Neochloris_aquatica_UTEX_B138,1.033,1.087,0.983,1.084,0.937,0.731,1.210,0.849,0.996,0.873,0.834,0.904,1.208,1.031,0.841,0.948,,,,,,,,,,,
Nephroselmis_olivacea,0.783,1.282,0.853,0.743,0.837,0.815,3.164,0.657,0.828,0.798,0.800,0.850,0.900,0.936,0.736,0.689,0.834,,,,,,,,,,
Ostreococcus_tauri_RCC1561,0.869,1.212,1.172,1.113,0.844,1.160,2.653,0.872,0.820,0.877,0.904,0.999,0.898,1.018,1.093,1.088,1.173,0.903,,,,,,,,,
Oltmannsiellopsis_viridis,0.698,1.299,0.839,0.795,0.930,0.853,2.562,0.907,0.884,0.819,1.043,0.992,0.931,0.822,0.942,0.948,0.773,0.795,0.882,,,,,,,,
Pseudendoclonium_akinetum,0.903,1.559,1.013,0.938,1.031,1.175,1.771,0.957,1.018,1.171,1.252,1.036,0.935,0.920,1.007,1.079,1.282,0.834,1.213,0.771,,,,,,,
Prasinoderma_coloniale_CCMP1220,1.767,1.412,1.591,1.747,1.527,1.365,1.212,1.610,1.563,1.241,1.353,1.478,1.208,1.400,1.292,1.349,1.284,1.600,1.328,1.343,1.374,,,,,,
Pyramimonas_parkeae_NIES254,0.985,1.133,0.779,0.836,0.835,0.841,2.019,1.037,0.799,0.779,0.784,0.949,1.207,1.099,0.828,0.756,0.913,0.890,1.381,1.084,1.233,1.257,,,,,
Pseudomuriella_schumacherensis_SAG2137,1.197,1.571,0.922,0.967,0.850,1.066,1.464,0.971,0.832,0.997,1.109,1.203,1.338,1.264,0.961,0.780,1.129,0.886,1.016,0.880,1.112,1.427,1.052,,,,
Ulva_fasciata,1.007,1.533,1.045,0.860,1.073,1.014,2.002,1.105,0.876,0.980,1.015,0.908,1.131,1.393,0.971,0.923,1.194,1.073,1.012,0.959,1.250,1.306,1.129,0.965,,,
Ulva_flexuosa,0.983,1.355,0.940,1.014,1.137,1.053,NA,1.112,0.907,0.909,0.964,0.923,1.385,1.483,1.045,0.845,1.177,1.242,0.970,0.888,1.385,1.393,1.097,0.949,0.358,,
Ulva_sp._UNA00071828,0.835,1.140,0.946,0.858,0.948,1.044,NA,1.204,0.918,0.894,0.887,0.954,1.269,1.353,0.835,0.887,1.230,1.053,0.932,0.955,1.481,1.644,1.011,0.941,0.391,0.380,
